# qpkg_filename                  package_name         version      arch   short_path                               hash
OWatcher3_250926_x86.qpkg        OWatcher3            250926       i86    sherpa.packages/QPKGs/OWatcher3/build    68d775dd6cf2530332e5858a78e8e8bc
OWhisparr_250926_arm_64.qpkg     OWhisparr            250926       a64    sherpa.packages/QPKGs/OWhisparr/build    3885dd2f8d12ea29a7b3bf89dde4c2ab
OWhisparr_250926_x86_64.qpkg     OWhisparr            250926       i64    sherpa.packages/QPKGs/OWhisparr/build    c039d51925d14fbad51d67434db870e4
Par2_0.8.1.1_arm-x19.qpkg        Par2                 0.8.1.1      a19    sherpa.packages/QPKGs/Par2/build         d312d8bd2dee43e62a720f0d209905f8
Par2_0.8.1.1_x86.qpkg            Par2                 0.8.1.1      i86    sherpa.packages/QPKGs/Par2/build         6c685f4d0571467afbf00f5371c9ac68
Par2turbo_1.1.0_arm_64.qpkg      Par2turbo            1.1.0        a64    sherpa.packages/QPKGs/Par2turbo/build    2617e5739f17ff557b817a20c2ae38e9
Par2turbo_1.1.0_arm-x31.qpkg     Par2turbo            1.1.0        a31    sherpa.packages/QPKGs/Par2turbo/build    fafa50f9fe67d7798e2261ec8408cf1a
Par2turbo_1.1.0_arm-x41.qpkg     Par2turbo            1.1.0        a41    sherpa.packages/QPKGs/Par2turbo/build    da1a48d4674453c5116870ad35c0b899
Par2turbo_1.1.0_x86_64.qpkg      Par2turbo            1.1.0        i64    sherpa.packages/QPKGs/Par2turbo/build    574f2d84284fe1c1f2e66d104e16ae8b
pyLoad_250926_arm_64.qpkg        pyLoad               250926       a64    sherpa.packages/QPKGs/pyLoad/build       4cd14ba694fb53c1be9d260ed825b4fd
pyLoad_250926_x86_64.qpkg        pyLoad               250926       i64    sherpa.packages/QPKGs/pyLoad/build       bd958e9bde2c4ab27cdad93c07278227
pyLoad_250926_x86_ce53xx.qpkg    pyLoad               250926       i53    sherpa.packages/QPKGs/pyLoad/build       38e362ffcd4ef7781ffad9feb8a4f63d
pyLoad_250926_x86.qpkg           pyLoad               250926       i86    sherpa.packages/QPKGs/pyLoad/build       43435a4356b21127cf60a2e0c9f9875b
QDK_2.3.14.zip                   QDK                  2.3.14       all    sherpa.packages/QPKGs/QDK/build          a42595c4d5bcd0e82e1c42ccc4f1d34f
RunLast_250712.qpkg              RunLast              250712       all    RunLast/build                            a398fc2dfc895cb3d86a59c23af1d646
SABnzbd_250926_arm_64.qpkg       SABnzbd              250926       a64    sherpa.packages/QPKGs/SABnzbd/build      c9ab8bcfe17422dd21bd6717597f59bb
SABnzbd_250926_arm-x19.qpkg      SABnzbd              250926       a19    sherpa.packages/QPKGs/SABnzbd/build      d7572002fbd0b898d78a97bf31415572
SABnzbd_250926_arm-x31.qpkg      SABnzbd              250926       a31    sherpa.packages/QPKGs/SABnzbd/build      13ab0bde61bceec418b37ebaf20a98ff
SABnzbd_250926_arm-x41.qpkg      SABnzbd              250926       a41    sherpa.packages/QPKGs/SABnzbd/build      c8409b052cf3200d0f89dc6809b646b6
SABnzbd_250926_x86_64.qpkg       SABnzbd              250926       i64    sherpa.packages/QPKGs/SABnzbd/build      39bf47f7c5b4a049938745cf703cef66
SABnzbd_250926_x86_ce53xx.qpkg   SABnzbd              250926       i53    sherpa.packages/QPKGs/SABnzbd/build      2f9701fc610c9d332d9dfdb44a223fba
SABnzbd_250926_x86.qpkg          SABnzbd              250926       i86    sherpa.packages/QPKGs/SABnzbd/build      7e86eb754d7d608c5d1bdae80932a92e
sha3sum_250706_x86_64.qpkg       sha3sum              250706       i64    sha3sum/build                            61e34ffb1bec95a1ea5e40133ca46a4b
sha3sum_250706_x86.qpkg          sha3sum              250706       i86    sha3sum/build                            31b1fe16447344754c70d3df02179747
sherpa_250726.qpkg               sherpa               250726       all    sherpa.packages/QPKGs/sherpa/build       57d7e4591f62fb3bbc579ac5c4927d4c
SortMyQPKGs_250705.qpkg          SortMyQPKGs          250705       all    SortMyQPKGs/build                        432955e4fee2c0a97e3cf92fe93fe1fc
TrguiNG_250926.qpkg              TrguiNG              250926       all    sherpa.packages/QPKGs/TrguiNG/build      409cc501d81b264305d358530d1185dc
Unmanic_250926_arm_64.qpkg       Unmanic              250926       a64    sherpa.packages/QPKGs/Unmanic/build      142e8d609de478d4ac53a1f9cdf16b54
Unmanic_250926_arm-x19.qpkg      Unmanic              250926       a19    sherpa.packages/QPKGs/Unmanic/build      8e8d170e9c889a30a24668effe9dd036
