# checksum_filename                  qpkg_filename                    package_name         version      arch   short_path                               hash
OSickGear_250919_arm_64.qpkg.md5     OSickGear_250919_arm_64.qpkg     OSickGear            250919       a64    sherpa.packages/QPKGs/OSickGear/build    6ec8d378c6f3df46c7c91b74bc7799a4
OSickGear_250919_arm-x19.qpkg.md5    OSickGear_250919_arm-x19.qpkg    OSickGear            250919       a19    sherpa.packages/QPKGs/OSickGear/build    5f10ec935f8b608272a73b2b99d07345
OSickGear_250919_arm-x31.qpkg.md5    OSickGear_250919_arm-x31.qpkg    OSickGear            250919       a31    sherpa.packages/QPKGs/OSickGear/build    1cb219e6a1b2c252ef37b7fcb06c7322
OSickGear_250919_arm-x41.qpkg.md5    OSickGear_250919_arm-x41.qpkg    OSickGear            250919       a41    sherpa.packages/QPKGs/OSickGear/build    7121ce9db91d888a5c95cdf730655b9e
OSickGear_250919_x86_64.qpkg.md5     OSickGear_250919_x86_64.qpkg     OSickGear            250919       i64    sherpa.packages/QPKGs/OSickGear/build    fb421cf83fb440239ccefef9ecf687b5
OSickGear_250919_x86_ce53xx.qpkg.md5 OSickGear_250919_x86_ce53xx.qpkg OSickGear            250919       i53    sherpa.packages/QPKGs/OSickGear/build    f378bc694c360f2f879f5df84ca30c13
OSickGear_250919_x86.qpkg.md5        OSickGear_250919_x86.qpkg        OSickGear            250919       i86    sherpa.packages/QPKGs/OSickGear/build    c35d8a80d1c8a389f1dea2d2b8a89e72
OSonarr_250919_arm_64.qpkg.md5       OSonarr_250919_arm_64.qpkg       OSonarr              250919       a64    sherpa.packages/QPKGs/OSonarr/build      3e1b6ee6ab236744b8aa06ea5f87c485
OSonarr_250919_x86_64.qpkg.md5       OSonarr_250919_x86_64.qpkg       OSonarr              250919       i64    sherpa.packages/QPKGs/OSonarr/build      0d3677953546c7312a28fe31072ef7a1
OTautulli_250919_arm_64.qpkg.md5     OTautulli_250919_arm_64.qpkg     OTautulli            250919       a64    sherpa.packages/QPKGs/OTautulli/build    b58bd6725db4721730a26abb808a8730
OTautulli_250919_arm-x19.qpkg.md5    OTautulli_250919_arm-x19.qpkg    OTautulli            250919       a19    sherpa.packages/QPKGs/OTautulli/build    bd381ec3779cf5f64206bb45036f09ff
OTautulli_250919_arm-x31.qpkg.md5    OTautulli_250919_arm-x31.qpkg    OTautulli            250919       a31    sherpa.packages/QPKGs/OTautulli/build    386eb19771f9c1571e9812eaeb1ee260
OTautulli_250919_arm-x41.qpkg.md5    OTautulli_250919_arm-x41.qpkg    OTautulli            250919       a41    sherpa.packages/QPKGs/OTautulli/build    18144adc0e1e016587177f3ea4c1a6e1
OTautulli_250919_x86_64.qpkg.md5     OTautulli_250919_x86_64.qpkg     OTautulli            250919       i64    sherpa.packages/QPKGs/OTautulli/build    d3b91e0f7b83c209426d9a1eb74d68f7
OTautulli_250919_x86_ce53xx.qpkg.md5 OTautulli_250919_x86_ce53xx.qpkg OTautulli            250919       i53    sherpa.packages/QPKGs/OTautulli/build    7d690890668640f5d31c13f43a4a6b3b
OTautulli_250919_x86.qpkg.md5        OTautulli_250919_x86.qpkg        OTautulli            250919       i86    sherpa.packages/QPKGs/OTautulli/build    583aad01d72fab03d20a65902b779550
OTransmission_250919.qpkg.md5        OTransmission_250919.qpkg        OTransmission        250919       all    sherpa.packages/QPKGs/OTransmission/build de10a0557755a09afbc54a382d276301
OWatcher3_250919_arm_64.qpkg.md5     OWatcher3_250919_arm_64.qpkg     OWatcher3            250919       a64    sherpa.packages/QPKGs/OWatcher3/build    33d60f32d484a5d80787b5c2e464bbe8
OWatcher3_250919_arm-x19.qpkg.md5    OWatcher3_250919_arm-x19.qpkg    OWatcher3            250919       a19    sherpa.packages/QPKGs/OWatcher3/build    dc8ed10ce18096ce48c166fd90a386ad
OWatcher3_250919_arm-x31.qpkg.md5    OWatcher3_250919_arm-x31.qpkg    OWatcher3            250919       a31    sherpa.packages/QPKGs/OWatcher3/build    31b023eff29b790f2aced969ccc5c2e7
OWatcher3_250919_arm-x41.qpkg.md5    OWatcher3_250919_arm-x41.qpkg    OWatcher3            250919       a41    sherpa.packages/QPKGs/OWatcher3/build    8a963bf235aa18232ec4b051b1f0e6af
OWatcher3_250919_x86_64.qpkg.md5     OWatcher3_250919_x86_64.qpkg     OWatcher3            250919       i64    sherpa.packages/QPKGs/OWatcher3/build    d31233c3bd6881696928ce4e71b92b02
OWatcher3_250919_x86_ce53xx.qpkg.md5 OWatcher3_250919_x86_ce53xx.qpkg OWatcher3            250919       i53    sherpa.packages/QPKGs/OWatcher3/build    8beebfb96cef6dcb5ebdc26a16e6ce44
OWatcher3_250919_x86.qpkg.md5        OWatcher3_250919_x86.qpkg        OWatcher3            250919       i86    sherpa.packages/QPKGs/OWatcher3/build    ba975db8b94d012a2c1da72b226c1db0
OWhisparr_250919_arm_64.qpkg.md5     OWhisparr_250919_arm_64.qpkg     OWhisparr            250919       a64    sherpa.packages/QPKGs/OWhisparr/build    b63e1310dee06281e1c682abe884f342
OWhisparr_250919_x86_64.qpkg.md5     OWhisparr_250919_x86_64.qpkg     OWhisparr            250919       i64    sherpa.packages/QPKGs/OWhisparr/build    50ffdcef54c2188ea47d03712be0a7f9
Par2_0.8.1.1_arm-x19.qpkg.md5        Par2_0.8.1.1_arm-x19.qpkg        Par2                 0.8.1.1      a19    sherpa.packages/QPKGs/Par2/build         d312d8bd2dee43e62a720f0d209905f8
Par2_0.8.1.1_x86.qpkg.md5            Par2_0.8.1.1_x86.qpkg            Par2                 0.8.1.1      i86    sherpa.packages/QPKGs/Par2/build         6c685f4d0571467afbf00f5371c9ac68
Par2turbo_1.1.0_arm_64.qpkg.md5      Par2turbo_1.1.0_arm_64.qpkg      Par2turbo            1.1.0        a64    sherpa.packages/QPKGs/Par2turbo/build    2617e5739f17ff557b817a20c2ae38e9
Par2turbo_1.1.0_arm-x31.qpkg.md5     Par2turbo_1.1.0_arm-x31.qpkg     Par2turbo            1.1.0        a31    sherpa.packages/QPKGs/Par2turbo/build    fafa50f9fe67d7798e2261ec8408cf1a
Par2turbo_1.1.0_arm-x41.qpkg.md5     Par2turbo_1.1.0_arm-x41.qpkg     Par2turbo            1.1.0        a41    sherpa.packages/QPKGs/Par2turbo/build    da1a48d4674453c5116870ad35c0b899
Par2turbo_1.1.0_x86_64.qpkg.md5      Par2turbo_1.1.0_x86_64.qpkg      Par2turbo            1.1.0        i64    sherpa.packages/QPKGs/Par2turbo/build    574f2d84284fe1c1f2e66d104e16ae8b
pyLoad_250919_arm_64.qpkg.md5        pyLoad_250919_arm_64.qpkg        pyLoad               250919       a64    sherpa.packages/QPKGs/pyLoad/build       aa36dfdccce2ec99299ae0a73a8569dc
pyLoad_250919_x86_64.qpkg.md5        pyLoad_250919_x86_64.qpkg        pyLoad               250919       i64    sherpa.packages/QPKGs/pyLoad/build       ef95b8a7021ed9dd4f640e231983f6d3
pyLoad_250919_x86_ce53xx.qpkg.md5    pyLoad_250919_x86_ce53xx.qpkg    pyLoad               250919       i53    sherpa.packages/QPKGs/pyLoad/build       11276023bde6460670e496c642d23516
pyLoad_250919_x86.qpkg.md5           pyLoad_250919_x86.qpkg           pyLoad               250919       i86    sherpa.packages/QPKGs/pyLoad/build       a95eaf71eda6a9bd23539afe28a6d69d
QDK_2.3.14.zip.qpkg.md5              QDK_2.3.14.zip                   QDK                  2.3.14       all    sherpa.packages/QPKGs/QDK/build          a42595c4d5bcd0e82e1c42ccc4f1d34f
RunLast_250712.qpkg.md5              RunLast_250712.qpkg              RunLast              250712       all    RunLast/build                            a398fc2dfc895cb3d86a59c23af1d646
SABnzbd_250919_arm_64.qpkg.md5       SABnzbd_250919_arm_64.qpkg       SABnzbd              250919       a64    sherpa.packages/QPKGs/SABnzbd/build      e579d6f5ca1ac7f28f15f960055a337f
SABnzbd_250919_arm-x19.qpkg.md5      SABnzbd_250919_arm-x19.qpkg      SABnzbd              250919       a19    sherpa.packages/QPKGs/SABnzbd/build      d64b8f770d5de3e73f3f8dc4d6c19151
SABnzbd_250919_arm-x31.qpkg.md5      SABnzbd_250919_arm-x31.qpkg      SABnzbd              250919       a31    sherpa.packages/QPKGs/SABnzbd/build      500c21eebd40c3280c835517067a538c
SABnzbd_250919_arm-x41.qpkg.md5      SABnzbd_250919_arm-x41.qpkg      SABnzbd              250919       a41    sherpa.packages/QPKGs/SABnzbd/build      cba8d370790d7432882fab76896d800c
SABnzbd_250919_x86_64.qpkg.md5       SABnzbd_250919_x86_64.qpkg       SABnzbd              250919       i64    sherpa.packages/QPKGs/SABnzbd/build      7a19de2f9214c7dde162ec6c23049f9c
SABnzbd_250919_x86_ce53xx.qpkg.md5   SABnzbd_250919_x86_ce53xx.qpkg   SABnzbd              250919       i53    sherpa.packages/QPKGs/SABnzbd/build      a02ec400beec3def0385bd861902ec5e
SABnzbd_250919_x86.qpkg.md5          SABnzbd_250919_x86.qpkg          SABnzbd              250919       i86    sherpa.packages/QPKGs/SABnzbd/build      ec2c468939178dfdf29384fa5bfca4a2
sha3sum_250706_x86_64.qpkg.md5       sha3sum_250706_x86_64.qpkg       sha3sum              250706       i64    sha3sum/build                            61e34ffb1bec95a1ea5e40133ca46a4b
sha3sum_250706_x86.qpkg.md5          sha3sum_250706_x86.qpkg          sha3sum              250706       i86    sha3sum/build                            31b1fe16447344754c70d3df02179747
