# checksum_filename                  qpkg_filename                    package_name         version      arch   hash
Unmanic_250425_arm-x19.qpkg.md5      Unmanic_250425_arm-x19.qpkg      Unmanic              250425       a19    c58ac6e71bb151d7a7397b03316da904
Unmanic_250425_arm-x31.qpkg.md5      Unmanic_250425_arm-x31.qpkg      Unmanic              250425       a31    0a8459fba4649454220f221b97be3c21
Unmanic_250425_arm-x41.qpkg.md5      Unmanic_250425_arm-x41.qpkg      Unmanic              250425       a41    af8d8b204594009210bd2f84a8c6d4a6
Unmanic_250425_x86_64.qpkg.md5       Unmanic_250425_x86_64.qpkg       Unmanic              250425       i64    e01edb2920a963546921a9be3c3ae629
Unmanic_250425_x86_ce53xx.qpkg.md5   Unmanic_250425_x86_ce53xx.qpkg   Unmanic              250425       i53    3590fa5e38a1e32b27c4a57fb9ca057b
Unmanic_250425_x86.qpkg.md5          Unmanic_250425_x86.qpkg          Unmanic              250425       i86    5536738d44e958b2bdd47207f622de2d
Unrar_7.0.8_arm_64.qpkg.md5          Unrar_7.0.8_arm_64.qpkg          Unrar                7.0.8        a64    6f13faaa829aa55c9e08b005e4a3beaa
Unrar_7.0.8_arm-x41.qpkg.md5         Unrar_7.0.8_arm-x41.qpkg         Unrar                7.0.8        a41    0d31704e9c094b63723cec45d2da723f
Unrar_7.0.8_x86_64.qpkg.md5          Unrar_7.0.8_x86_64.qpkg          Unrar                7.0.8        i64    205ae961938432f74af2398577728034
WebSSH_250425_arm_64.qpkg.md5        WebSSH_250425_arm_64.qpkg        WebSSH               250425       a64    e6798c3a8231b01e28f2b467ce9c4cce
WebSSH_250425_x86_64.qpkg.md5        WebSSH_250425_x86_64.qpkg        WebSSH               250425       i64    f6907670cf7780ba8aaa12c465aae648
WebSSH_250425_x86_ce53xx.qpkg.md5    WebSSH_250425_x86_ce53xx.qpkg    WebSSH               250425       i53    770489ab001a3d406e8041861a7bcd20
WebSSH_250425_x86.qpkg.md5           WebSSH_250425_x86.qpkg           WebSSH               250425       i86    0a948822e2d033c3ef96f38254c41403
